"LIBRARYREFERENCE","FOOTPRINT1","COMMENT","SHEETPART","DESIGNATOR","DESCRIPTION"
"AT89C1051","DIP-20","AT89C1051","*","U?","8-Bit Microcontroller with 1K Flash ROM"
"AT89C1051U","DIP-20","AT89C1051U","*","U?","8-Bit Microcontroller with 1K Flash ROM"
"AT89C2051","DIP-20","AT89C2051","*","U?","8-Bit Microcontroller with 2K Flash ROM"
"AT89C2051x2","DIP-20","AT89C2051x2","*","U?","8-Bit Microcontroller with 2K Flash ROM"
"AT89C4051","DIP-20","AT89C4051","*","U?","8-Bit Microcontroller with 4K Flash ROM"
"AT89C51","DIP-40","AT89C51","","U?","8-Bit Microcontroller with 4K Flash ROM"
"AT89C51RC","DIP-40","AT89C51RC","","U?","8-Bit Microcontroller with 32K Flash ROM"
"AT89C52","DIP-40","AT89C52","","U?","8-Bit Microcontroller with 8K Flash ROM"
"AT89C55WD","DIP-40","AT89C55WD","","U?","8-Bit Microcontroller with 20K Flash ROM"
"AT89LS51","DIP-40","AT89LS51","","U?","8-Bit Microcontroller with 4K ISP Flash ROM"
"AT89LS52","DIP-40","AT89LS52","","U?","8-Bit Microcontroller with 8K ISP Flash ROM"
"AT89LS53","DIP-40","AT89LS53","","U?","8-Bit Microcontroller with 12K ISP Flash ROM"
"AT89LS8252","DIP-40","AT89LS8252","","U?","8-Bit Microcontroller with 8K ISP Flash ROM"
"AT89LV51","DIP-40","AT89LV51","","U?","8-Bit Microcontroller with 4K Flash ROM"
"AT89LV52","DIP-40","AT89LV52","","U?","8-Bit Microcontroller with 8K Flash ROM"
"AT89LV55","DIP-40","AT89LV55","","U?","8-Bit Microcontroller with 20K Flash ROM"
"AT89S51","DIP-40","AT89S51","","U?","8-Bit Microcontroller with 4K ISP Flash ROM"
"AT89S52","DIP-40","AT89S52","","U?","8-Bit Microcontroller with 8K ISP Flash ROM"
"AT89S53","DIP-40","AT89S53","","U?","8-Bit Microcontroller with 12K ISP Flash ROM"
"AT89S8252","DIP-40","AT89S8252","","U?","8-Bit Microcontroller with 8K ISP Flash ROM"
